cust_code,customer_name,item_code,item_description,invoice_date,invoice_no,quantity,price,amount,cost,profit,margin,source_file
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,12,0.93,11.16,0.00,11.16,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,0.2,11.16,2.23,0.00,2.23,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,0.1,18.6,1.86,0.00,1.86,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,0.4,19.53,7.81,0.00,7.81,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,1.7,19.81,33.68,0.00,33.68,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,0.3,20.46,6.14,0.00,6.14,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,0.4,26.04,10.42,0.00,10.42,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,0.6,26.97,16.18,0.00,16.18,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,2.3,31.62,72.73,0.00,72.73,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,0.2,9.11,1.82,0.00,1.82,100.00,DSCI01062025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-02-15,0941517,1.3,35.25,45.82,0.00,45.82,100.00,DSCI01062025.txt
