cust_code,customer_name,item_code,item_description,invoice_date,invoice_no,quantity,price,amount,cost,profit,margin,source_file
OLFARE,XII - Old Fashioned Restaurant Inc.,10330,Clam - Hardshell (Pasta),2026-03-11,0996415,1,7.5,7.50,4.70,2.80,37.38,DSCI.txt
ONE-AZ,One Time Customer AZ,10330,Clam - Hardshell (Pasta),2026-03-09,0996172,5,7.5,37.50,23.48,14.02,37.38,DSCI.txt
PADELL,Padella Italian Eatery,10330,Clam - Hardshell (Pasta),2026-03-14,0996873,2,6.5,13.00,9.42,3.58,27.56,DSCI.txt
PIA-CO,Piano Piano - Colburne,10330,Clam - Hardshell (Pasta),2026-03-14,0996831,10,6.5,65.00,47.09,17.91,27.56,DSCI.txt
PRORES,Proper Restaurant -West,10330,Clam - Hardshell (Pasta),2026-03-10,0996214,10,7.5,75.00,46.97,28.03,37.38,DSCI.txt
PRORES,Proper Restaurant -West,10330,Clam - Hardshell (Pasta),2026-03-12,0996514,10,7.5,75.00,46.97,28.03,37.38,DSCI.txt
PRORES,Proper Restaurant -West,10330,Clam - Hardshell (Pasta),2026-03-14,0996840,5,7.5,37.50,23.54,13.96,37.22,DSCI.txt
RISNOT,Ristorante Notte (Amano),10330,Clam - Hardshell (Pasta),2026-03-09,0996067,5,6.5,32.50,23.48,9.02,27.74,DSCI.txt
RISNOT,Ristorante Notte (Amano),10330,Clam - Hardshell (Pasta),2026-03-13,0996736,5,6.5,32.50,23.54,8.96,27.56,DSCI.txt
STRETO,The St. Regis Toronto,10330,Clam - Hardshell (Pasta),2026-03-10,0996262,5,7.5,37.50,23.48,14.02,37.38,DSCI.txt
STRETO,The St. Regis Toronto,10330,Clam - Hardshell (Pasta),2026-03-16,0997033,5,7.5,37.50,23.55,13.95,37.19,DSCI.txt
SUNCHI,Sunny's Kensington Inc.,10330,Clam - Hardshell (Pasta),2026-03-14,0996911,8,7.5,60.00,37.69,22.31,37.19,DSCI.txt
ABRIEL,Abrielle,10340,Clam - BC Manila,2026-03-09,0996127,1,8.95,8.95,6.09,2.86,31.94,DSCI.txt
ABRIEL,Abrielle,10340,Clam - BC Manila,2026-03-16,0997006,1,8.95,8.95,6.20,2.75,30.69,DSCI.txt
BUCA-V,2817342 Ontario Inc o/a Buca VAUGHAN,10340,Clam - BC Manila,2026-03-10,0996298,3,9.5,28.50,18.27,10.23,35.88,DSCI.txt
BUCA-V,2817342 Ontario Inc o/a Buca VAUGHAN,10340,Clam - BC Manila,2026-03-14,0996827,3,9.5,28.50,19.04,9.46,33.21,DSCI.txt
BUCA-Y,2817340 Ontario inc / Buca Yorkville,10340,Clam - BC Manila,2026-03-09,0996113,3,9.5,28.50,18.27,10.23,35.88,DSCI.txt
BUCA-Y,2817340 Ontario inc / Buca Yorkville,10340,Clam - BC Manila,2026-03-10,0996312,20,9.5,190.00,121.82,68.18,35.88,DSCI.txt
DAPHNE,Daphne,10340,Clam - BC Manila,2026-03-11,0996413,6,8.95,53.70,36.55,17.15,31.94,DSCI.txt
DAPHNE,Daphne,10340,Clam - BC Manila,2026-03-14,0996855,2,8.95,17.90,12.69,5.21,29.10,DSCI.txt
FLORET,Florette,10340,Clam - BC Manila,2026-03-10,0996308,20,7.5,150.00,121.82,28.18,18.79,DSCI.txt
HARB60,Harbour 60 Toronto,10340,Clam - BC Manila,2026-03-09,0996144,3,8.95,26.85,18.27,8.58,31.94,DSCI.txt
HARB60,Harbour 60 Toronto,10340,Clam - BC Manila,2026-03-12,0996599,3,8.95,26.85,18.27,8.58,31.94,DSCI.txt
JOSO,Joso's,10340,Clam - BC Manila,2026-03-13,0996800,10,8.5,85.00,60.22,24.78,29.15,DSCI.txt
LAIFAI,"Laissez FaireUpstairs, PM After 3pm",10340,Clam - BC Manila,2026-03-10,0996258,5,8.95,44.75,30.46,14.29,31.94,DSCI.txt
LILRES,Liliana Restaurant,10340,Clam - BC Manila,2026-03-11,0996432,3,9.5,28.50,18.27,10.23,35.88,DSCI.txt
LILRES,Liliana Restaurant,10340,Clam - BC Manila,2026-03-14,0996884,5,9.5,47.50,31.73,15.77,33.21,DSCI.txt
LUNLAD,The Lunch Lady,10340,Clam - BC Manila,2026-03-09,0996073,50,8.95,447.50,304.55,142.95,31.94,DSCI.txt
LUNLAD,The Lunch Lady,10340,Clam - BC Manila,2026-03-12,0996580,50,8.95,447.50,304.55,142.95,31.94,DSCI.txt
LUNLAD,The Lunch Lady,10340,Clam - BC Manila,2026-03-13,0996724,50,8.95,447.50,304.55,142.95,31.94,DSCI.txt
LUNLAD,The Lunch Lady,10340,Clam - BC Manila,2026-03-16,0996966,50,8.95,447.50,310.14,137.36,30.69,DSCI.txt
MOKUTA,Mokutan,10340,Clam - BC Manila,2026-03-16,0997020,5,9.5,47.50,31.01,16.49,34.71,DSCI.txt
O&B-LU,Oliver & Bonacini Luma,10340,Clam - BC Manila,2026-03-13,0996660,5,8.95,44.75,30.46,14.29,31.94,DSCI.txt
OSTGIU,Osteria Giulia,10340,Clam - BC Manila,2026-03-09,0996133,5,9.5,47.50,30.46,17.04,35.88,DSCI.txt
PIA-BW,Piano Piano Paradise -Bloor St. W,10340,Clam - BC Manila,2026-03-10,0996194,3,9.5,28.50,18.27,10.23,35.88,DSCI.txt
PIA-BW,Piano Piano Paradise -Bloor St. W,10340,Clam - BC Manila,2026-03-12,0996504,5,9.5,47.50,30.46,17.04,35.88,DSCI.txt
PIA-CO,Piano Piano - Colburne,10340,Clam - BC Manila,2026-03-09,0996065,5,9.5,47.50,30.46,17.04,35.88,DSCI.txt
PIA-HA,Piano Piano - Harbord,10340,Clam - BC Manila,2026-03-11,0996342,6,9.5,57.00,36.55,20.45,35.88,DSCI.txt
PIA-HM,Piano Piano - Hamilton,10340,Clam - BC Manila,2026-03-09,0996055,10,9.95,99.50,60.91,38.59,38.78,DSCI.txt
PIA-LE,Piano Piano Leslieville,10340,Clam - BC Manila,2026-03-13,0996656,5,9.5,47.50,30.46,17.04,35.88,DSCI.txt
PIA-MT,Piano Piano-Mt Pleasant,10340,Clam - BC Manila,2026-03-09,0996068,5,9.5,47.50,30.46,17.04,35.88,DSCI.txt
PIA-MT,Piano Piano-Mt Pleasant,10340,Clam - BC Manila,2026-03-12,0996497,5,9.5,47.50,30.46,17.04,35.88,DSCI.txt
PIA-OA,Piano Piano-Oakville,10340,Clam - BC Manila,2026-03-09,0996058,8,9.95,79.60,48.73,30.87,38.78,DSCI.txt
PIA-OA,Piano Piano-Oakville,10340,Clam - BC Manila,2026-03-13,0996670,7,11.95,83.65,42.64,41.01,49.03,DSCI.txt
